Year of Timestamp,Month of Timestamp,Day of Timestamp,Hour of Timestamp,elec_consumption
2016,December,1,0,16
2016,December,1,1,15
2016,December,1,2,14
2016,December,1,3,15
2016,December,1,4,14
2016,December,1,5,15.5
2016,December,1,6,17.5
2016,December,1,7,23
2016,December,1,8,30
2016,December,1,9,41
2016,December,1,10,46
2016,December,1,11,48.5
2016,December,1,12,53
2016,December,1,13,53.5
2016,December,1,14,55
2016,December,1,15,52.5
2016,December,1,16,53.5
2016,December,1,17,49
2016,December,1,18,46
2016,December,1,19,42.5
2016,December,1,20,36.5
2016,December,1,21,32.5
2016,December,1,22,30
2016,December,1,23,23
2016,December,2,0,16
2016,December,2,1,14
2016,December,2,2,14
2016,December,2,3,13.5
2016,December,2,4,14.5
2016,December,2,5,15
2016,December,2,6,18
2016,December,2,7,23
2016,December,2,8,31.5
2016,December,2,9,38
2016,December,2,10,45
2016,December,2,11,49
2016,December,2,12,50
2016,December,2,13,47
2016,December,2,14,48
2016,December,2,15,48.5
2016,December,2,16,50.5
2016,December,2,17,46
2016,December,2,18,41
2016,December,2,19,35.5
2016,December,2,20,30
2016,December,2,21,26.5
2016,December,2,22,25
2016,December,2,23,24.5
2016,December,3,0,16
2016,December,3,1,15
2016,December,3,2,14.5
2016,December,3,3,13.5
2016,December,3,4,13.5
2016,December,3,5,13.5
2016,December,3,6,19
2016,December,3,7,22
2016,December,3,8,22.5
2016,December,3,9,21
2016,December,3,10,21.5
2016,December,3,11,22
2016,December,3,12,23.5
2016,December,3,13,25
2016,December,3,14,24
2016,December,3,15,24
2016,December,3,16,25
2016,December,3,17,23
2016,December,3,18,26
2016,December,3,19,26
2016,December,3,20,25
2016,December,3,21,25
2016,December,3,22,24.5
2016,December,3,23,22.5
2016,December,4,0,15.5
2016,December,4,1,14
2016,December,4,2,14
2016,December,4,3,13.5
2016,December,4,4,14
2016,December,4,5,13.5
2016,December,4,6,15.5
2016,December,4,7,22.5
2016,December,4,8,21.5
2016,December,4,9,22
2016,December,4,10,22.5
2016,December,4,11,24.5
2016,December,4,12,25
2016,December,4,13,28
2016,December,4,14,27.5
2016,December,4,15,27.5
2016,December,4,16,29
2016,December,4,17,31
2016,December,4,18,32.5
2016,December,4,19,31.5
2016,December,4,20,30.5
2016,December,4,21,29
2016,December,4,22,29.5
2016,December,4,23,23.5
2016,December,5,0,15
2016,December,5,1,14.5
2016,December,5,2,13
2016,December,5,3,14
2016,December,5,4,13.5
2016,December,5,5,14.5
2016,December,5,6,19.5
2016,December,5,7,23.5
2016,December,5,8,31.5
2016,December,5,9,38
2016,December,5,10,42.5
2016,December,5,11,48
2016,December,5,12,50.5
2016,December,5,13,50.5
2016,December,5,14,51
2016,December,5,15,52.5
2016,December,5,16,53
2016,December,5,17,52
2016,December,5,18,45.5
2016,December,5,19,39
2016,December,5,20,33.5
2016,December,5,21,31
2016,December,5,22,28
2016,December,5,23,23.5
2016,December,6,0,15
2016,December,6,1,16.5
2016,December,6,2,14.5
2016,December,6,3,15
2016,December,6,4,14.5
2016,December,6,5,15
2016,December,6,6,20
2016,December,6,7,23
2016,December,6,8,32
2016,December,6,9,41
2016,December,6,10,50
2016,December,6,11,52.5
2016,December,6,12,52.5
2016,December,6,13,55.5
2016,December,6,14,54.5
2016,December,6,15,52.5
2016,December,6,16,57
2016,December,6,17,53
2016,December,6,18,49
2016,December,6,19,43.5
2016,December,6,20,37.5
2016,December,6,21,34
2016,December,6,22,29
2016,December,6,23,22.5
2016,December,7,0,13.5
2016,December,7,1,13
2016,December,7,2,13
2016,December,7,3,12
2016,December,7,4,12.5
2016,December,7,5,13
2016,December,7,6,15.5
2016,December,7,7,21
2016,December,7,8,30.5
2016,December,7,9,39
2016,December,7,10,45
2016,December,7,11,48.5
2016,December,7,12,50
2016,December,7,13,51
2016,December,7,14,53
2016,December,7,15,50
2016,December,7,16,50
2016,December,7,17,46.5
2016,December,7,18,42.5
2016,December,7,19,41
2016,December,7,20,33.5
2016,December,7,21,28.5
2016,December,7,22,27
2016,December,7,23,21.5
2016,December,8,0,14
2016,December,8,1,13.5
2016,December,8,2,12.5
2016,December,8,3,13
2016,December,8,4,12.5
2016,December,8,5,13
2016,December,8,6,16.5
2016,December,8,7,20.5
2016,December,10,7,21.5
2016,December,10,8,22
2016,December,10,9,22.5
2016,December,10,10,25.5
2016,December,10,11,25.5
2016,December,10,12,25.5
2016,December,10,13,24
2016,December,10,14,24.5
2016,December,10,15,25.5
2016,December,10,16,26.5
2016,December,10,17,27.5
2016,December,10,18,27
2016,December,10,19,28
2016,December,10,20,27.5
2016,December,10,21,28
2016,December,10,22,27
2016,December,10,23,26
2016,December,11,0,18.5
2016,December,11,1,17.5
2016,December,11,2,18
2016,December,11,3,16.5
2016,December,11,4,16.5
2016,December,11,5,16.5
2016,December,11,6,18.5
2016,December,11,7,23.5
2016,December,11,8,25
2016,December,11,9,23.5
2016,December,11,10,23
2016,December,11,11,24
2016,December,11,12,24.5
2016,December,11,13,23.5
2016,December,11,14,23.5
2016,December,11,15,24
2016,December,11,16,26.5
2016,December,11,17,27.5
2016,December,11,18,27
2016,December,11,19,27
2016,December,11,20,25
2016,December,11,21,25
2016,December,11,22,24
2016,December,11,23,22.5
2016,December,12,0,17.5
2016,December,12,1,15
2016,December,12,2,15
2016,December,12,3,15
2016,December,12,4,14.5
2016,December,12,5,15
2016,December,12,6,17.5
2016,December,12,7,23
2016,December,12,8,31
2016,December,12,9,38
2016,December,12,10,44.5
2016,December,12,11,50.5
2016,December,12,12,50
2016,December,12,13,50
2016,December,12,14,52.5
2016,December,12,15,54
2016,December,12,16,56
2016,December,12,17,53.5
2016,December,12,18,46
2016,December,12,19,38
2016,December,12,20,33.5
2016,December,12,21,31
2016,December,12,22,28
2016,December,12,23,25
2016,December,13,0,18.5
2016,December,13,1,15.5
2016,December,13,2,15
2016,December,13,3,14.5
2016,December,13,4,15
2016,December,13,5,14
2016,December,13,6,18
2016,December,13,7,23.5
2016,December,13,8,32
2016,December,13,9,39.5
2016,December,13,10,46.5
2016,December,13,11,49
2016,December,13,12,50.5
2016,December,13,13,52.5
2016,December,13,14,52
2016,December,13,15,52
2016,December,13,16,52
2016,December,13,17,51.5
2016,December,13,18,46
2016,December,13,19,39.5
2016,December,13,20,36.5
2016,December,13,21,34
2016,December,13,22,29
2016,December,13,23,23
2016,December,14,0,17
2016,December,14,1,15.5
2016,December,14,2,14.5
2016,December,14,3,14.5
2016,December,14,4,14.5
2016,December,14,5,14
2016,December,14,6,17
2016,December,18,7,21.5
2016,December,18,8,21.5
2016,December,18,9,22
2016,December,18,10,23
2016,December,18,11,22.5
2016,December,18,12,24
2016,December,18,13,26.5
2016,December,18,14,26
2016,December,18,15,27.5
2016,December,18,16,26.5
2016,December,18,17,27.5
2016,December,18,18,28.5
2016,December,18,19,29.5
2016,December,18,20,27
2016,December,18,21,26
2016,December,18,22,24.5
2016,December,18,23,22
2016,December,19,0,15
2016,December,19,1,14.5
2016,December,19,2,14.5
2016,December,19,3,14
2016,December,19,4,14.5
2016,December,19,5,13.5
2016,December,19,6,17
2016,December,19,7,23
2016,December,19,8,31
2016,December,19,9,31.5
2016,December,19,10,35.5
2016,December,19,11,34.5
2016,December,19,12,34.5
2016,December,19,13,33.5
2016,December,19,14,34
2016,December,19,15,33
2016,December,19,16,34
2016,December,19,17,33
2016,December,19,18,30
2016,December,19,19,25
2016,December,19,20,23.5
2016,December,19,21,22.5
2016,December,19,22,22.5
2016,December,19,23,22
2016,December,20,0,13.5
2016,December,20,1,14.5
2016,December,20,2,13
2016,December,20,3,14
2016,December,20,4,14
2016,December,20,5,14
2016,December,20,6,15.5
2016,December,20,7,22.5
2016,December,20,8,27
2016,December,20,9,31
2016,December,20,10,33
2016,December,20,11,33
2016,December,20,12,36
2016,December,20,13,33.5
2016,December,20,14,31.5
2016,December,20,15,32.5
2016,December,20,16,33
2016,December,20,17,32
2016,December,20,18,30
2016,December,20,19,28
2016,December,20,20,23
2016,December,20,21,24
2016,December,20,22,23.5
2016,December,20,23,22
2016,December,21,0,14.5
2016,December,21,1,14.5
2016,December,21,2,13.5
2016,December,21,3,13.5
2016,December,21,4,13.5
2016,December,21,5,13.5
2016,December,21,6,16.5
2016,December,21,7,22
2016,December,21,8,28.5
2016,December,21,9,33
2016,December,21,10,36
2016,December,21,11,34.5
2016,December,21,12,33.5
2016,December,21,13,33.5
2016,December,21,14,33
2017,January,1,0,13.5
2017,January,1,1,12.5
2017,January,1,2,13
2017,January,1,3,12.5
2017,January,1,4,12.5
2017,January,1,5,12.5
2017,January,1,6,13.5
2017,January,1,7,17.5
2017,January,1,8,17.5
2017,January,1,9,16.5
2017,January,1,10,17
2017,January,1,11,18.5
2017,January,1,12,18.5
2017,January,1,13,20
2017,January,1,14,18.5
2017,January,1,15,19
2017,January,1,16,20.5
2017,January,1,17,19
2017,January,1,18,21
2017,January,1,19,19.5
2017,January,1,20,20.5
2017,January,1,21,20
2017,January,1,22,17.5
2017,January,1,23,17
2017,January,2,0,13
2017,January,2,1,14.5
2017,January,2,2,13
2017,January,2,3,12.5
2017,January,2,4,13
2017,January,2,5,13
2017,January,2,6,14.5
2017,January,2,7,18.5
2017,January,2,8,17.5
2017,January,2,9,20
2017,January,2,10,19.5
2017,January,2,11,20.5
2017,January,2,12,21
2017,January,2,13,20
2017,January,2,14,21.5
2017,January,2,15,20
2017,January,2,16,21
2017,January,2,17,23
2017,January,2,18,23
2017,January,2,19,20
2017,January,2,20,22
2017,January,2,21,20
2017,January,2,22,19
2017,January,2,23,17.5
2017,January,3,0,14
2017,January,3,1,15
2017,January,3,2,13
2017,January,3,3,13
2017,January,3,4,12.5
2017,January,3,5,13.5
2017,January,3,6,17
2017,January,3,7,20.5
2017,January,3,8,21
2017,January,3,9,24
2017,January,3,10,28
2017,January,3,11,29
2017,January,3,12,31
2017,January,3,13,28.5
2017,January,3,14,28.5
2017,January,3,15,29
2017,January,3,16,28.5
2017,January,3,17,28
2017,January,3,18,25.5
2017,January,3,19,25
2017,January,3,20,23
2017,January,3,21,19.5
2017,January,3,22,20
2017,January,3,23,22
2017,January,4,0,16
2017,January,4,1,16
2017,January,4,2,15.5
2017,January,4,3,15
2017,January,4,4,14.5
2017,January,4,5,15
2017,January,4,6,18
2017,January,6,7,20.5
2017,January,6,8,23
2017,January,6,9,25.5
2017,January,6,10,29
2017,January,6,11,30.5
2017,January,6,12,31.5
2017,January,6,13,31.5
2017,January,6,14,31
2017,January,6,15,31.5
2017,January,6,16,33
2017,January,6,17,30
2017,January,6,18,27
2017,January,6,19,25
2017,January,6,20,21.5
2017,January,6,21,22
2017,January,6,22,21
2017,January,6,23,19
2017,January,7,0,15.5
2017,January,7,1,13
2017,January,7,2,13
2017,January,7,3,13
2017,January,7,4,13
2017,January,7,5,13.5
2017,January,7,6,14.5
2017,January,7,7,18
2017,January,7,8,18
2017,January,7,9,19
2017,January,7,10,18
2017,January,7,11,19.5
2017,January,7,12,20.5
2017,January,7,13,19
2017,January,7,14,20.5
2017,January,7,15,20.5
2017,January,7,16,21
2017,January,7,17,22
2017,January,7,18,22.5
2017,January,7,19,21.5
2017,January,7,20,21.5
2017,January,7,21,20.5
2017,January,7,22,20
2017,January,7,23,18.5
2017,January,8,0,13
2017,January,8,1,15
2017,January,8,2,14
2017,January,8,3,13.5
2017,January,8,4,13.5
2017,January,8,5,13
2017,January,8,6,16
2017,January,8,7,18
2017,January,8,8,18.5
2017,January,8,9,19.5
2017,January,8,10,20
2017,January,8,11,20.5
2017,January,8,12,21
2017,January,8,13,20.5
2017,January,8,14,20.5
2017,January,8,15,20
2017,January,8,16,19.5
2017,January,8,17,21.5
2017,January,8,18,22
2017,January,8,19,21
2017,January,8,20,24.5
2017,January,8,21,24
2017,January,8,22,21
2017,January,8,23,20
2017,January,9,0,15.5
2017,January,9,1,15.5
2017,January,9,2,15
2017,January,9,3,14.5
2017,January,9,4,14.5
2017,January,9,5,14
2017,January,9,6,17
2017,January,9,7,20
2017,January,9,8,23
2017,January,9,9,28.5
2017,January,9,10,33.5
2017,January,9,11,36.5
2017,January,9,12,36.5
2017,January,9,13,35.5
2017,January,9,14,35
2017,January,9,15,34.5
2017,January,9,16,33
2017,January,9,17,34
2017,January,9,18,29
2017,January,9,19,23
2017,January,9,20,23
2017,January,9,21,21
2017,January,9,22,19.5
2017,January,9,23,19.5
2017,January,10,0,14
2017,January,10,1,14
2017,January,10,2,14.5
2017,January,10,3,13.5
2017,January,10,4,13
2017,January,10,5,14
2017,January,10,6,18.5
2017,January,10,7,21.5
2017,January,10,8,24
2017,January,10,9,29.5
2017,January,10,10,34.5
2017,January,10,11,35
2017,January,10,12,35.5
2017,January,10,13,36.5
2017,January,10,14,35.5
2017,January,10,15,36.5
2017,January,10,16,36
2017,January,10,17,34.5
2017,January,10,18,30
2017,January,10,19,26.5
2017,January,10,20,23
2017,January,10,21,22
2017,January,10,22,20.5
2017,January,10,23,18.5
2017,January,11,0,14
2017,January,11,1,14.5
2017,January,11,2,13.5
2017,January,11,3,14
2017,January,11,4,13.5
2017,January,11,5,14.5
2017,January,11,6,19
2017,January,11,7,20.5
2017,January,11,8,23.5
2017,January,11,9,30.5
2017,January,11,10,35
2017,January,11,11,37
2017,January,11,12,40.5
2017,January,11,13,37.5
2017,January,11,14,37
2017,January,11,15,35.5
2017,January,11,16,36
2017,January,11,17,36
2017,January,11,18,30
2017,January,11,19,27
2017,January,11,20,24
2017,January,11,21,21
2017,January,11,22,22
2017,January,11,23,20
2017,January,12,0,14.5
2017,January,12,1,14
2017,January,12,2,14.5
2017,January,12,3,14
2017,January,12,4,14.5
2017,January,12,5,15
2017,January,12,6,18.5
2017,January,12,7,22
2017,January,12,8,24
2017,January,12,9,31.5
2017,January,12,10,36
2017,January,12,11,38
2017,January,12,12,36
2017,January,12,13,36.5
2017,January,12,14,36.5
2017,January,12,15,38.5
2017,January,12,16,38
2017,January,12,17,39
2017,January,12,18,35.5
2017,January,12,19,30
2017,January,12,20,23.5
2017,January,12,21,22
2017,January,12,22,21
2017,January,12,23,18.5
2017,January,13,0,14.5
2017,January,13,1,14.5
2017,January,13,2,14
2017,January,13,3,14
2017,January,13,4,14
2017,January,13,5,14.5
2017,January,13,6,18
2017,January,13,7,21
2017,January,13,8,24.5
2017,January,13,9,29
2017,January,13,10,35
2017,January,13,11,36.5
2017,January,13,12,36.5
2017,January,13,13,37
2017,January,13,14,35
2017,January,13,15,36
2017,January,13,16,36
2017,January,13,17,36
2017,January,13,18,30.5
2017,January,13,19,26.5
2017,January,13,20,24.5
2017,January,13,21,20.5
2017,January,13,22,21
2017,January,13,23,18
2017,January,14,0,16
2017,January,14,1,14.5
2017,January,14,2,14
2017,January,14,3,14
2017,January,14,4,13.5
2017,January,14,5,14
2017,January,14,6,16
2017,January,20,16,46
2017,January,20,17,41
2017,January,20,18,37.5
2017,January,20,19,33.5
2017,January,20,20,28.5
2017,January,20,21,26
2017,January,20,22,23.5
2017,January,20,23,20
2017,January,21,0,15
2017,January,21,1,14
2017,January,21,2,14
2017,January,21,3,14
2017,January,21,4,13.5
2017,January,21,5,14
2017,January,21,6,15
2017,January,21,7,18.5
2017,January,21,8,21
2017,January,21,9,19.5
2017,January,21,10,20
2017,January,21,11,21
2017,January,21,12,21.5
2017,January,21,13,21
2017,January,21,14,23
2017,January,21,15,22.5
2017,January,21,16,22
2017,January,21,17,24
2017,January,21,18,25
2017,January,21,19,23
2017,January,21,20,23
2017,January,21,21,23
2017,January,21,22,22.5
2017,January,21,23,20.5
2017,January,22,0,16
2017,January,22,1,14.5
2017,January,22,2,14.5
2017,January,22,3,14.5
2017,January,22,4,13.5
2017,January,22,5,14.5
2017,January,22,6,17
2017,January,22,7,18.5
2017,January,22,8,18
2017,January,22,9,22
2017,January,22,10,19.5
2017,January,22,11,20.5
2017,January,22,12,22
2017,January,22,13,24.5
2017,January,22,14,25
2017,January,22,15,24.5
2017,January,22,16,25.5
2017,January,22,17,27
2017,January,22,18,26
2017,January,22,19,25.5
2017,January,22,20,23.5
2017,January,22,21,23
2017,January,22,22,23.5
2017,January,22,23,19
2017,January,23,0,15
2017,January,23,1,14.5
2017,January,23,2,13.5
2017,January,23,3,14
2017,January,23,4,13.5
2017,January,23,5,14.5
2017,January,23,6,17
2017,January,23,7,22.5
2017,January,23,8,24.5
2017,January,23,9,35.5
2017,January,23,10,42.5
2017,January,23,11,49
2017,January,23,12,50.5
2017,January,23,13,55
2017,January,23,14,54.5
2017,January,23,15,56.5
2017,January,23,16,54.5
2017,January,23,17,52
2017,January,23,18,45
2017,January,23,19,39.5
2017,January,23,20,34.5
2017,January,23,21,32
2017,January,23,22,27.5
2017,January,23,23,23
2017,January,24,0,17
2017,January,24,1,16
2017,January,24,2,15
2017,January,24,3,14.5
2017,January,24,4,14.5
2017,January,24,5,16
2017,January,24,6,18.5
2017,January,24,7,22
2017,January,24,8,27.5
2017,January,24,9,37
2017,January,24,10,50.5
2017,January,24,11,53.5
2017,January,24,12,54.5
2017,January,24,13,53.5
2017,January,24,14,53
2017,January,24,15,49.5
2017,January,24,16,53.5
2017,January,24,17,51
2017,January,24,18,45.5
2017,January,24,19,42
2017,January,24,20,38
2017,January,24,21,34
2017,January,27,7,22
2017,January,27,8,27.5
2017,January,27,9,33.5
2017,January,27,10,39.5
2017,January,27,11,41.5
2017,January,27,12,42
2017,January,27,13,44.5
2017,January,27,14,43
2017,January,27,15,45.5
2017,January,27,16,47
